gps_millis,timestamp,position_velocity,clock_drift_rate,position_jump_alert,clock_jump_alert,spoofing_alert
1387198950000.0,1387198950000.0,0.279508501291275,92.03125,False,False,False
1387198951000.0,1387198951000.0,0.279508501291275,92.03125,False,False,False
1387198952000.0,1387198952000.0,0.125,92.03125,False,False,False
1387198953000.0,1387198953000.0,0.0,92.046875,False,False,False
1387198954000.0,1387198954000.0,1.0307763814926147,92.03125,False,False,False
1387198955000.0,1387198955000.0,0.0,92.03125,False,False,False
1387198956000.0,1387198956000.0,0.0,92.03125,False,False,False
1387198957000.0,1387198957000.0,0.125,92.03125,False,False,False
1387198958000.0,1387198958000.0,0.0,92.0625,False,False,False
1387198959000.0,1387198959000.0,0.125,92.328125,False,False,False
1387198960000.0,1387198960000.0,0.0,92.03125,False,False,False
1387198961000.0,1387198961000.0,0.0,92.046875,False,False,False
1387198962000.0,1387198962000.0,0.0,92.03125,False,False,False
1387198963000.0,1387198963000.0,0.0,92.03125,False,False,False
1387198964000.0,1387198964000.0,0.25,92.328125,False,False,False
1387198965000.0,1387198965000.0,0.5,92.046875,False,False,False
1387198966000.0,1387198966000.0,0.0,92.03125,False,False,False
1387198967000.0,1387198967000.0,0.0,92.328125,False,False,False
1387198968000.0,1387198968000.0,0.125,92.03125,False,False,False
1387198969000.0,1387198969000.0,0.125,92.0625,False,False,False
1387198970000.0,1387198970000.0,0.0,92.03125,False,False,False
1387198971000.0,1387198971000.0,0.0,92.328125,False,False,False
1387198972000.0,1387198972000.0,0.0,92.03125,False,False,False
1387198973000.0,1387198973000.0,0.0,92.046875,False,False,False
1387198974000.0,1387198974000.0,0.5,92.328125,False,False,False
1387198975000.0,1387198975000.0,0.0,92.03125,False,False,False
1387198976000.0,1387198976000.0,0.0,92.34375,False,False,False
1387198977000.0,1387198977000.0,0.0,92.03125,False,False,False
1387198978000.0,1387198978000.0,0.125,92.34375,False,False,False
1387198979000.0,1387198979000.0,0.0,92.046875,False,False,False
1387198980000.0,1387198980000.0,0.125,92.328125,False,False,False
1387198981000.0,1387198981000.0,0.0,92.03125,False,False,False
1387198982000.0,1387198982000.0,0.0,92.34375,False,False,False
1387198983000.0,1387198983000.0,0.5,92.03125,False,False,False
1387198984000.0,1387198984000.0,0.0,92.328125,False,False,False
1387198985000.0,1387198985000.0,0.0,92.03125,False,False,False
1387198986000.0,1387198986000.0,0.0,92.046875,False,False,False
1387198987000.0,1387198987000.0,0.0,92.34375,False,False,False
1387198988000.0,1387198988000.0,0.0,92.328125,False,False,False
1387198989000.0,1387198989000.0,0.0,92.046875,False,False,False
1387198990000.0,1387198990000.0,0.0,92.328125,False,False,False
1387198991000.0,1387198991000.0,0.0,92.03125,False,False,False
1387198992000.0,1387198992000.0,0.0,92.34375,False,False,False
1387198993000.0,1387198993000.0,0.0,92.03125,False,False,False
1387198994000.0,1387198994000.0,0.0,92.328125,False,False,False
1387198995000.0,1387198995000.0,0.0,92.046875,False,False,False
1387198996000.0,1387198996000.0,0.0,92.328125,False,False,False
1387198997000.0,1387198997000.0,0.0,92.34375,False,False,False
1387198998000.0,1387198998000.0,0.0,92.046875,False,False,False
1387198999000.0,1387198999000.0,0.25,92.03125,False,False,False
1387199000000.0,1387199000000.0,0.125,92.328125,False,False,False
1387199001000.0,1387199001000.0,0.0,92.34375,False,False,False
1387199002000.0,1387199002000.0,0.0,92.03125,False,False,False
1387199003000.0,1387199003000.0,0.0,92.328125,False,False,False
1387199004000.0,1387199004000.0,0.0,92.03125,False,False,False
1387199005000.0,1387199005000.0,0.0,92.34375,False,False,False
1387199006000.0,1387199006000.0,0.0,92.046875,False,False,False
1387199007000.0,1387199007000.0,0.0,92.328125,False,False,False
1387199008000.0,1387199008000.0,0.0,92.046875,False,False,False
1387199009000.0,1387199009000.0,0.0,92.03125,False,False,False
1387199010000.0,1387199010000.0,0.0,92.328125,False,False,False
1387199011000.0,1387199011000.0,0.0,92.03125,False,False,False
1387199012000.0,1387199012000.0,0.0,92.34375,False,False,False
1387199013000.0,1387199013000.0,0.0,92.03125,False,False,False
1387199014000.0,1387199014000.0,0.0,92.328125,False,False,False
1387199015000.0,1387199015000.0,0.0,92.0625,False,False,False
1387199016000.0,1387199016000.0,0.0,92.03125,False,False,False
1387199017000.0,1387199017000.0,0.0,92.328125,False,False,False
1387199018000.0,1387199018000.0,0.0,92.046875,False,False,False
1387199019000.0,1387199019000.0,0.125,92.328125,False,False,False
1387199020000.0,1387199020000.0,0.0,92.03125,False,False,False
1387199021000.0,1387199021000.0,0.0,92.03125,False,False,False
1387199022000.0,1387199022000.0,0.0,92.34375,False,False,False
1387199023000.0,1387199023000.0,0.125,92.03125,False,False,False
1387199024000.0,1387199024000.0,0.0,92.03125,False,False,False
1387199025000.0,1387199025000.0,0.0,92.359375,False,False,False
1387199026000.0,1387199026000.0,0.0,92.03125,False,False,False
1387199027000.0,1387199027000.0,0.0,92.03125,False,False,False
1387199028000.0,1387199028000.0,0.0,92.328125,False,False,False
1387199029000.0,1387199029000.0,0.0,92.046875,False,False,False
1387199030000.0,1387199030000.0,0.0,92.03125,False,False,False
1387199031000.0,1387199031000.0,0.125,92.328125,False,False,False
1387199032000.0,1387199032000.0,0.0,92.046875,False,False,False
1387199033000.0,1387199033000.0,0.0,92.03125,False,False,False
1387199034000.0,1387199034000.0,0.0,92.328125,False,False,False
1387199035000.0,1387199035000.0,0.0,92.046875,False,False,False
1387199036000.0,1387199036000.0,0.0,92.046875,False,False,False
1387199037000.0,1387199037000.0,1.0,92.03125,False,False,False
1387199038000.0,1387199038000.0,0.0,92.328125,False,False,False
1387199039000.0,1387199039000.0,0.0,92.03125,False,False,False
1387199040000.0,1387199040000.0,0.0,92.34375,False,False,False
1387199041000.0,1387199041000.0,0.0,92.03125,False,False,False
1387199042000.0,1387199042000.0,0.0,92.03125,False,False,False
1387199043000.0,1387199043000.0,0.125,92.34375,False,False,False
1387199044000.0,1387199044000.0,0.0,92.046875,False,False,False
1387199045000.0,1387199045000.0,0.0,92.328125,False,False,False
1387199046000.0,1387199046000.0,0.0,92.046875,False,False,False
1387199047000.0,1387199047000.0,0.0,92.328125,False,False,False
1387199048000.0,1387199048000.0,0.125,92.03125,False,False,False
1387199049000.0,1387199049000.0,0.0,92.03125,False,False,False
1387199050000.0,1387199050000.0,0.0,92.34375,False,False,False
1387199051000.0,1387199051000.0,0.0,92.03125,False,False,False
1387199052000.0,1387199052000.0,0.0,92.328125,False,False,False
1387199053000.0,1387199053000.0,0.0,92.0625,False,False,False
1387199054000.0,1387199054000.0,0.0,92.03125,False,False,False
1387199055000.0,1387199055000.0,0.0,92.328125,False,False,False
1387199056000.0,1387199056000.0,0.0,92.03125,False,False,False
1387199057000.0,1387199057000.0,0.0,92.046875,False,False,False
1387199058000.0,1387199058000.0,0.0,92.328125,False,False,False
1387199059000.0,1387199059000.0,0.0,92.03125,False,False,False
1387199060000.0,1387199060000.0,0.0,92.03125,False,False,False
1387199061000.0,1387199061000.0,0.0,92.046875,False,False,False
1387199062000.0,1387199062000.0,0.0,92.328125,False,False,False
1387199063000.0,1387199063000.0,0.0,92.03125,False,False,False
1387199064000.0,1387199064000.0,0.0,92.359375,False,False,False
1387199065000.0,1387199065000.0,0.0,92.03125,False,False,False
1387199066000.0,1387199066000.0,0.0,92.328125,False,False,False
1387199067000.0,1387199067000.0,0.0,92.046875,False,False,False
1387199068000.0,1387199068000.0,0.0,92.328125,False,False,False
1387199069000.0,1387199069000.0,0.125,92.03125,False,False,False
1387199070000.0,1387199070000.0,0.0,92.03125,False,False,False
1387199071000.0,1387199071000.0,0.0,92.34375,False,False,False
1387199072000.0,1387199072000.0,0.0,92.03125,False,False,False
1387199073000.0,1387199073000.0,0.0,92.046875,False,False,False
1387199074000.0,1387199074000.0,0.0,92.34375,False,False,False
1387199075000.0,1387199075000.0,0.0,92.03125,False,False,False
1387199076000.0,1387199076000.0,0.0,92.03125,False,False,False
1387199077000.0,1387199077000.0,0.0,92.328125,False,False,False
1387199078000.0,1387199078000.0,0.0,92.046875,False,False,False
1387199079000.0,1387199079000.0,0.0,92.03125,False,False,False
1387199080000.0,1387199080000.0,0.125,92.328125,False,False,False
1387199081000.0,1387199081000.0,0.0,92.046875,False,False,False
