gps_millis,x_rx_wls_m,y_rx_wls_m,z_rx_wls_m,b_rx_wls_m,lat_rx_wls_deg,lon_rx_wls_deg,alt_rx_wls_m
1387167524007.0,-1271324.7535731932,5641587.284193808,2685684.9537727144,2065865.5467264042,25.05771028101871,102.6994022072291,1931.487713266474
1387167525007.0,-1271325.4091781161,5641587.6285104435,2685685.4413809646,2065959.476736531,25.05771243261024,102.69940779381761,1932.129070995994
1387167526007.0,-1271342.516329057,5641597.635265652,2685691.205803276,2066067.561964921,25.05770787140226,102.69955134165015,1946.820489494203
1387167527007.0,-1271342.6049323338,5641598.475052899,2685691.7649370003,2066161.4981442022,25.057709236691462,102.6995503689133,1947.8170821713413
1387167528007.0,-1271325.7794674553,5641587.901213614,2685683.8898029663,2066238.5095951748,25.0576984200569,102.69941077876375,1931.786664843329
1387167529007.0,-1271326.3011018408,5641588.951467033,2685684.8117383355,2066332.9789062364,25.057701602724528,102.69941353295303,1933.2091449694954
1387167530007.0,-1271325.2528049261,5641587.922767724,2685683.410405518,2066424.6523918824,25.057694863015183,102.69940564154588,1931.497790634429
1387167531007.0,-1271324.715593467,5641587.460645007,2685682.7621740988,2066517.1023069895,25.057691738066488,102.69940145583331,1930.7078739667213
1387167532007.0,-1271324.482918278,5641586.747373233,2685682.3873803797,2066609.6305635273,25.057691529120664,102.69940076051951,1929.872467861203
1387167533007.0,-1271325.0967145967,5641587.689918301,2685682.8609464946,2066703.8310329735,25.057691370421306,102.69940464006245,1931.0282192829172
1387167534007.0,-1271325.9931919337,5641588.154297071,2685683.3634626693,2066798.0399603522,25.057692993817387,102.69941229321911,1931.829961029083
1387167535007.0,-1271326.71235068,5641588.353568712,2685683.5228964617,2066891.7843161258,25.057692949922927,102.6994188099755,1932.2168040003548
1387167536007.0,-1271327.0011137158,5641588.575078032,2685683.6802053205,2066985.3707242713,25.05769316738395,102.69942111845855,1932.5366874799804
1387167537007.0,-1271325.7032582061,5641588.475027,2685682.8077737214,2067077.5470697053,25.057687498615035,102.69940879240669,1931.820306521872
1387167538007.0,-1271325.79237563,5641588.3891489655,2685682.7983933385,2067170.824009516,25.05768766726066,102.69940984078487,1931.7581887561405
1387167539007.0,-1271325.5923094882,5641588.126447851,2685682.7957011955,2067263.9109617253,25.057688792897782,102.69940847928683,1931.4850517598975
1387167540007.0,-1271325.3805503438,5641587.803106449,2685682.6720272447,2067356.8867920632,25.057689165410665,102.69940713685044,1931.1047575646658
1387167541007.0,-1271325.5548806724,5641587.593598926,2685682.76371926,2067450.1881825302,25.057690549729635,102.69940927809311,1930.9931628394443
1387167542007.0,-1271326.1924428178,5641587.824608469,2685682.9530487745,2067543.9105005856,25.057690700462228,102.69941493708087,1931.404465373612
1387167543007.0,-1271327.005462618,5641587.970699817,2685683.2903950526,2067637.7570614354,25.057692230478086,102.69942247684689,1931.838355246071
1387167544007.0,-1271327.9618466883,5641588.221108787,2685683.6623704177,2067731.6965687745,25.05769353416104,102.69943117504158,1932.4076497643207
1387167545007.0,-1271328.439527402,5641588.396946286,2685683.835640767,2067825.2972747635,25.057693893667995,102.69943540891595,1932.731554515786
1387167546007.0,-1271328.2214995914,5641587.960466162,2685683.8122290787,2067918.2221256203,25.05769551298274,102.69943425231392,1932.292492976574
1387167547007.0,-1271328.2640246388,5641587.58692738,2685683.886669603,2068011.3674676835,25.057697478642954,102.69943547690538,1932.0023854823696
1387167548007.0,-1271328.7284057343,5641587.689289423,2685684.0731732235,2068104.9094016165,25.05769823147968,102.69943974226933,1932.2643146020996
1387167549007.0,-1271328.182201548,5641587.24220827,2685683.9297454273,2068197.617768919,25.05769918491309,102.6994354368834,1931.699699199633
1387167550007.0,-1271328.266252399,5641587.311145873,2685683.85549251,2068290.868910323,25.057698250201074,102.69943609909886,1931.7459107949396
1387167551007.0,-1271330.6503225872,5641590.958454061,2685688.3947130204,2068389.1993821815,25.057719756535903,102.69945119751517,1937.366391159348
1387167552007.0,-1271329.3631550868,5641587.811647343,2685684.22101306,2068478.2425199328,25.05769845051568,102.69944561071556,1932.5614673988443
1387167553007.0,-1271329.646303142,5641587.911932412,2685684.2421882683,2068571.628687139,25.05769801177483,102.69944812895861,1932.7154475950667
1387167554007.0,-1271329.5730333044,5641587.860806025,2685684.198352624,2068664.7700938906,25.05769790560824,102.69944753215002,1932.6371089939407
1387167555007.0,-1271329.0231745457,5641587.500989229,2685684.034734027,2068757.5008727007,25.05769837166305,102.69944300137817,1932.1403316540413
1387167556007.0,-1271327.3405672824,5641586.588872502,2685683.404495637,2068849.2510472834,25.05769803415011,102.69942872535019,1930.7322652847427
1387167557007.0,-1271326.428780606,5641585.950220726,2685683.077138041,2068941.6298310263,25.05769850540461,102.6994213037991,1929.8476508652225
1387167558007.0,-1271325.502394679,5641585.556993669,2685682.72980541,2069034.0770044795,25.057697910504537,102.69941320659888,1929.1685560842634
1387167559007.0,-1271325.5442964938,5641585.607576812,2685682.7422259594,2069127.3338938258,25.057697788227113,102.69941350141461,1929.2268625149434
1387167560007.0,-1271325.6012180166,5641585.764240416,2685682.745921483,2069220.6232112464,25.057697186455346,102.69941371035146,1929.3782102670891
1387167561007.0,-1271325.5988849106,5641585.7033151025,2685682.7208791655,2069313.7819691133,25.0576972108612,102.69941382049895,1929.3132984705614
1387167562007.0,-1271325.7372860727,5641585.556610538,2685682.7420594823,2069406.9933718664,25.057697814743015,102.69941547769473,1929.2201850726133
1387167563007.0,-1271299.1567232986,5641566.876694838,2685674.7324474915,2069476.3903508063,25.05772432070369,102.69919925704487,1904.0266698444661
1387167564007.0,-1271324.6337828778,5641584.602019096,2685682.415440164,2069592.3251852882,25.057699631175566,102.69940689129672,1928.018501493287
1387167565007.0,-1271324.051048523,5641584.002224748,2685682.2994595324,2069684.957551024,25.057701409117,102.699402565449,1927.3232803658573
1387167566007.0,-1271324.2802260271,5641583.997722564,2685682.4344999157,2069778.3397261316,25.057702337328372,102.69940479029148,1927.4221351098086
1387167567007.0,-1271325.998069502,5641584.488932813,2685683.0738843298,2069872.8090144964,25.05770428944914,102.69942032364453,1928.4691278412388
1387167568007.0,-1271327.371931211,5641585.078892699,2685683.581512147,2069967.1028832602,25.05770508524655,102.69943231727633,1929.479082533506
1387167569007.0,-1271327.8274930213,5641585.221573488,2685683.805492398,2070060.700432059,25.05770600153849,102.69943640958694,1929.7907583412016
1387167570007.0,-1271329.0982759334,5641585.5336697595,2685684.254867178,2070154.8437632958,25.05770744378844,102.69944801213937,1930.5099597854858
1387167571007.0,-1271329.430449875,5641585.738331792,2685684.4308531038,2070248.4009276305,25.057707840280663,102.69945077688888,1930.8315105128654
1387167572007.0,-1271329.6836498505,5641585.781478215,2685684.4472632166,2070341.7432451681,25.057707600801717,102.69945313013014,1930.9270139023138
1387167573007.0,-1271329.3080390943,5641585.635628652,2685684.2577474006,2070434.6444546077,25.057706910902176,102.69944981746161,1930.6430563663143
1387167574007.0,-1271318.5937054912,5641584.135431674,2685679.203713291,2070519.904490385,25.057680189409332,102.69934952923238,1925.0430520149387
1387167575007.0,-1271319.1199590475,5641584.522756279,2685679.2229714342,2070613.5277150276,25.057678460435724,102.69935377195551,1925.4982960392222
1387167576007.0,-1271320.2230009383,5641585.1135598775,2685679.466433805,2070707.5614402697,25.05767732102803,102.6993631462465,1926.34318054051
1387167577007.0,-1271321.3416083064,5641585.785864962,2685679.565267076,2070801.634652193,25.05767468226081,102.69937249346525,1927.2019347540636
1387167578007.0,-1271330.6575988212,5641587.31356394,2685683.6123622213,2070901.6865967961,25.057694244162597,102.69945920654942,1932.1213019776849
1387167579007.0,-1271330.6091040596,5641587.812651584,2685683.5558616226,2070995.10449063,25.057691962046686,102.69945765080811,1932.5287688450028
1387167580007.0,-1271330.500060606,5641587.919544365,2685683.50098454,2071088.31602617,25.05769120646393,102.69945636407058,1932.5782745027777
1387167581007.0,-1271329.64463037,5641587.699800961,2685682.8705196516,2071180.7602258255,25.057687590387467,102.6994485748212,1931.946705795116
1387167582007.0,-1271329.2412768526,5641587.783157923,2685682.477087799,2071273.6421368178,25.057684402081883,102.69944449479547,1931.773413390827
1387167583007.0,-1271329.521956846,5641588.352237018,2685682.621881393,2071367.3366407414,25.057683228030275,102.69944596813374,1932.3935413521135
1387167584007.0,-1271329.1700690305,5641588.448717645,2685682.2666216595,2071460.2400023127,25.05768025961322,102.69944235694817,1932.2582628959794
1387167585007.0,-1271329.0759056744,5641588.6661541825,2685682.271719846,2071553.5136616144,25.05767956965553,102.69944097326099,1932.4338231053152
1387167586007.0,-1271329.6049845421,5641588.987457144,2685682.1989857303,2071647.0438342285,25.057677332420965,102.69944538707597,1932.7923241684268
1387167587007.0,-1271329.51080705,5641589.136906346,2685682.1988442875,2071740.3043844071,25.057676853145228,102.69944415133106,1932.9055805814826
1387167588007.0,-1271329.052105608,5641589.110822183,2685682.256425602,2071833.3448966488,25.057677806579104,102.69943977472717,1932.815568296755
1387167589007.0,-1271329.4201000726,5641589.221480278,2685682.430733268,2071926.8963496373,25.05767850976773,102.6994430904299,1933.0604684317573
1387167590007.0,-1271328.7225921156,5641588.4915309185,2685682.088241515,2072019.3078970655,25.057679017666146,102.69943793876935,1932.131435204075
1387167591007.0,-1271298.035651836,5641567.296758536,2685673.090542169,2072085.3134082516,25.057710273289956,102.69918750676213,1903.479238741429
1387167592007.0,-1271297.9765494766,5641567.414349555,2685673.137312915,2072178.5537346168,25.057710266850023,102.69918667941226,1903.5911955603483
1387167593007.0,-1271298.2141283662,5641567.652941108,2685673.3370979778,2072272.0786641506,25.057710810883393,102.69918845600696,1903.9339711963883
1387167594007.0,-1271298.4831682006,5641567.78199429,2685673.479280672,2072365.5082954387,25.057711266004258,102.69919077525283,1904.161814225496
1387167595007.0,-1271298.541193355,5641567.777895036,2685673.3887159303,2072458.6958497725,25.057710492138497,102.6991913450058,1904.1313899127929
1387167596007.0,-1271298.9695082216,5641568.047937096,2685673.601351083,2072552.3257007468,25.057710863688108,102.69919489660222,1904.5453850502722
1387167597007.0,-1271300.1703713466,5641568.364190783,2685674.0296727223,2072646.4181846047,25.05771217709456,102.69920581438187,1905.2454153851686
1387167598007.0,-1271285.4585794902,5641564.341278062,2685667.792983696,2072728.2313228657,25.057688552152324,102.6990723837499,1896.119123131092
1387167599007.0,-1271303.5883008172,5641569.549218315,2685675.479633907,2072835.6152404668,25.057716740388326,102.69923626834303,1907.5874086323147
1387167600007.0,-1271304.9942139292,5641569.999271008,2685675.901254936,2072929.884094541,25.057717327815165,102.69924887654574,1908.4436771078163
1387167601007.0,-1271306.8639351835,5641570.398298231,2685676.6025966736,2073024.4857414912,25.05772000258547,102.69926607867365,1909.4656882185807
1387167602007.0,-1271308.0376760683,5641570.695293197,2685677.0453614085,2073118.6210940748,25.0577215286617,102.69927677624285,1910.1494163589432
